id,name,url,comment,muscle_group
180,Сведение рук в кроссовере на низ груди,https://cloud.mail.ru/public/YaSg/76upfmVkd,Оборудование: Кроссовер,9
181,Подтягивания горизонтальные,https://cloud.mail.ru/public/TGbd/W1hpCuVis,Оборудование: Перекладина,10
182,Подтягивания горизонтальные в TRX,https://cloud.mail.ru/public/ZQZN/4VtecaLNN,Оборудование: TRX,10
183,Тяга с нижнего блока одной рукой,https://cloud.mail.ru/public/XUHV/5y4ffX7y3,Оборудование: Кроссовер,10
184,Вертикальная тяга в «Хаммер» поочередно,https://cloud.mail.ru/public/qioT/TYGzyEh8g,Оборудование: Вертикальная тяга Хаммер,10
185,Тяга вертикального блока широким хватом,https://cloud.mail.ru/public/kQWo/nQNULwyaH,Оборудование: Вертикальный блок,10
186,[object Object],https://cloud.mail.ru/public/kQWo/nQNULwyaH,Оборудование: Вертикальный блок,10
187,Тяга вертикального блока обратным хватом,https://cloud.mail.ru/public/9Vst/9Mkdp84oC,Оборудование: Вертикальный блок,10
188,Тяга вертикального блока узким хватом,https://cloud.mail.ru/public/nn6L/1K19jgbxb,Оборудование: Вертикальный блок,10
189,Тяга вертикального блока сидя боком одной рукой,https://cloud.mail.ru/public/kGoX/JPJj1yQKa,Оборудование: Вертикальный блок,10
190,Тяга вертикального блока средний параллельный хват (Краб),https://cloud.mail.ru/public/SXs1/GPbNG11mB,Оборудование: Вертикальный блок,10
191,Тяга вертикального блока параллельным средним хватом,https://cloud.mail.ru/public/mUhr/3XChnfJmR,Оборудование: Вертикальный блок,10
192,Горизонтальная тяга в «Хаммер» прямой хват двумя руками,https://cloud.mail.ru/public/pWBk/NsvBUGbW5,Оборудование: Горизонтальная тяга Хаммер,10
193,"Горизрнтальная тяга в """"Хаммер"""" нейтральным хватом",https://cloud.mail.ru/public/RKSd/YbSSmTrYX,Оборудование: Горизонтальная тяга Хаммер,10
194,Горизонтальная тяга в «Хаммер» параллельный хват одной рукой,https://cloud.mail.ru/public/s3QF/Q1QTU4XzR,Оборудование: Горизонтальная тяга Хаммер,10
195,Тяга горизонтального блока широким хватом,https://cloud.mail.ru/public/3a8f/vugkRBuGc,Оборудование: Горизонтальный блок,10
196,Тяга горизонтального блока широким хватом (ЖС),https://cloud.mail.ru/public/Tn42/PEyXJq7sx,Оборудование: Горизонтальный блок,10
197,Тяга горизонтального блока параллельным средним хватом,https://cloud.mail.ru/public/Nux1/dxQA91mfZ,Оборудование: Горизонтальный блок,10
